1
Jumpers
Memphis Ravens
Jumpers
Great Bay
2
Boston Sharks
Austin Giraffes
Austin Giraffes
75 m
2
Magnificent Roadrunners
Liberal Soldiers
Liberal Soldiers
Green Greens
2
Savory Horses
Agile Bulls
Agile Bulls
Pokemon Stadium
2
Indianapolis Pandas
Las Vegas Ferrets
Indianapolis Pandas
Mushroom Kingdom II
2
Robust Horses
Nervous Knights
Nervous Knights
Jungle Japes
2
Vigorous Ogres
Red Butterflies
Vigorous Ogres
Yoshi's Island (Brawl)
2
Nashville Survivors
Pink Resistance
Nashville Survivors
Wii Fit Studio
2
Cincinatti Dragons
Murdering Squids
Murdering Squids
3D Land
2
Seattle Cobras
Los Angeles Sentinels
Seattle Cobras
Luigi's Mansion
1
Jumpers
Las Vegas Ferrets

Pokemon Stadium 2
2
Agile Bulls
Nervous Knights

Duck Hunt
2
Liberal Soldiers
Red Butterflies

Jungle Japes
2
Austin Giraffes
Pink Resistance

PictoChat 2
2
Memphis Ravens
Murdering Squids

Onett
2
Boston Sharks
Los Angeles Sentinels

Shadow Moses Island
2
Magnificent Roadrunners
Seattle Cobras

Midgar
2
Savory Horses
Cincinatti Dragons

Frigate Orpheon
2
Indianapolis Pandas
Nashville Survivors

Rainbow Cruise
2
Robust Horses
Vigorous Ogres

Smashville
1
Jumpers
Pink Resistance

Golden Plains
2
Red Butterflies
Murdering Squids

Magicant
2
Nervous Knights
Los Angeles Sentinels

Suzaku Castle
2
Las Vegas Ferrets
Seattle Cobras

Find Mii
2
Agile Bulls
Cincinatti Dragons

Smashville
2
Liberal Soldiers
Nashville Survivors

Tomodachi Life
2
Austin Giraffes
Vigorous Ogres

Find Mii
2
Memphis Ravens
Robust Horses

Pokemon Stadium
2
Boston Sharks
Indianapolis Pandas

Balloon Fight
2
Magnificent Roadrunners
Savory Horses

Hanenbow
1
Jumpers
Savory Horses

Golden Plains
2
Indianapolis Pandas
Magnificent Roadrunners

Luigi's Mansion
2
Robust Horses
Boston Sharks

Prism Tower
2
Vigorous Ogres
Memphis Ravens

Mushroom Kingdom U
2
Nashville Survivors
Austin Giraffes

Fourside
2
Cincinatti Dragons
Liberal Soldiers

Skyworld
2
Seattle Cobras
Agile Bulls

Green Hill Zone
2
Los Angeles Sentinels
Las Vegas Ferrets

PictoChat 2
2
Murdering Squids
Nervous Knights

Yoshi's Story
2
Pink Resistance
Red Butterflies

Skyworld
1
Jumpers
Austin Giraffes

Delfino Plaza
2
Memphis Ravens
Liberal Soldiers

Duck Hunt
2
Boston Sharks
Agile Bulls

Yoshi's Island (Melee)
2
Magnificent Roadrunners
Las Vegas Ferrets

Yoshi's Story
2
Savory Horses
Nervous Knights

Brinstar
2
Indianapolis Pandas
Red Butterflies

Halberd
2
Robust Horses
Pink Resistance

Pirate Ship
2
Vigorous Ogres
Murdering Squids

Flat Zone X
2
Nashville Survivors
Los Angeles Sentinels

Pokemon Stadium
2
Cincinatti Dragons
Seattle Cobras

Super Happy Tree
1
Jumpers
Murdering Squids

Skyloft
2
Pink Resistance
Los Angeles Sentinels

Skyworld
2
Red Butterflies
